"","Destination","Origin","Product","Year","dist_km","Euros"
"398","BE","LU",5,2009,139.571938559573,221493
"399","LU","BE",6,2009,139.571938559573,9060892
"400","BE","LU",6,2009,139.571938559573,78785
"401","LU","BE",7,2009,139.571938559573,36149657
"402","BE","LU",7,2009,139.571938559573,3129566
"403","LU","BE",8,2009,139.571938559573,35908034
"404","BE","LU",8,2009,139.571938559573,2016468
"405","LU","BE",9,2009,139.571938559573,15122085
"406","BE","LU",9,2009,139.571938559573,6150632
"407","LU","BE",10,2009,139.571938559573,7207526
"408","BE","LU",10,2009,139.571938559573,3941831
"409","LU","BE",11,2009,139.571938559573,3271008
"410","BE","LU",11,2009,139.571938559573,7260267
"411","LU","BE",12,2009,139.571938559573,1730926
"412","BE","LU",12,2009,139.571938559573,452203
"413","LU","BE",13,2009,139.571938559573,383174
"414","BE","LU",13,2009,139.571938559573,54512
"415","LU","BE",14,2009,139.571938559573,48679
"416","BE","LU",14,2009,139.571938559573,300386
"417","LU","BE",15,2009,139.571938559573,11308254
"418","BE","LU",15,2009,139.571938559573,441141
"419","LU","BE",16,2009,139.571938559573,39021524
"420","BE","LU",16,2009,139.571938559573,2245666
"421","LU","BE",17,2009,139.571938559573,16920840
"422","BE","LU",17,2009,139.571938559573,663365
"423","LU","BE",18,2009,139.571938559573,28956137
"424","BE","LU",18,2009,139.571938559573,712678
"425","LU","BE",19,2009,139.571938559573,62002000
"426","BE","LU",19,2009,139.571938559573,13972541
"427","LU","BE",20,2009,139.571938559573,32599361
"428","BE","LU",20,2009,139.571938559573,2746247
"581","LU","BE",1,2010,139.571938559573,1500180
"582","BE","LU",1,2010,139.571938559573,15240233
"583","LU","BE",2,2010,139.571938559573,62277524
"584","BE","LU",2,2010,139.571938559573,3686757
"585","LU","BE",3,2010,139.571938559573,19455008
"586","BE","LU",3,2010,139.571938559573,3784458
"587","LU","BE",4,2010,139.571938559573,73940937
"588","BE","LU",4,2010,139.571938559573,8931668
"589","LU","BE",5,2010,139.571938559573,1265288
"590","BE","LU",5,2010,139.571938559573,153696
"591","LU","BE",6,2010,139.571938559573,8864171
"592","BE","LU",6,2010,139.571938559573,120616
"593","LU","BE",7,2010,139.571938559573,39558388
"594","BE","LU",7,2010,139.571938559573,2496129
"595","LU","BE",8,2010,139.571938559573,38760588
"596","BE","LU",8,2010,139.571938559573,1520181
"597","LU","BE",9,2010,139.571938559573,16757215
"598","BE","LU",9,2010,139.571938559573,4553045
"599","LU","BE",10,2010,139.571938559573,4267268
"600","BE","LU",10,2010,139.571938559573,4948390
"601","LU","BE",11,2010,139.571938559573,3131385
"602","BE","LU",11,2010,139.571938559573,7130009
"603","LU","BE",12,2010,139.571938559573,1666712
"604","BE","LU",12,2010,139.571938559573,486143
"605","LU","BE",13,2010,139.571938559573,162272
"606","BE","LU",13,2010,139.571938559573,5176
"607","LU","BE",14,2010,139.571938559573,32764
"608","BE","LU",14,2010,139.571938559573,206557
"609","LU","BE",15,2010,139.571938559573,10984962
"610","BE","LU",15,2010,139.571938559573,1178751
"611","LU","BE",16,2010,139.571938559573,41463393
"612","BE","LU",16,2010,139.571938559573,3062794
"613","LU","BE",17,2010,139.571938559573,16570134
"614","BE","LU",17,2010,139.571938559573,540991
"615","LU","BE",18,2010,139.571938559573,32885046
"616","BE","LU",18,2010,139.571938559573,1089950
"617","LU","BE",19,2010,139.571938559573,62372109
"618","BE","LU",19,2010,139.571938559573,18296626
"619","LU","BE",20,2010,139.571938559573,29772354
"620","BE","LU",20,2010,139.571938559573,4634210
"774","LU","BE",1,2011,139.571938559573,2048621
"775","BE","LU",1,2011,139.571938559573,19937846
"776","LU","BE",2,2011,139.571938559573,67048839
"777","BE","LU",2,2011,139.571938559573,2957479
"778","LU","BE",3,2011,139.571938559573,20515536
"779","BE","LU",3,2011,139.571938559573,2872891
"780","LU","BE",4,2011,139.571938559573,77686095
"781","BE","LU",4,2011,139.571938559573,8989101
"782","LU","BE",5,2011,139.571938559573,914781
"783","BE","LU",5,2011,139.571938559573,338063
"784","LU","BE",6,2011,139.571938559573,9059690
"785","BE","LU",6,2011,139.571938559573,172383
"786","LU","BE",7,2011,139.571938559573,34386077
"787","BE","LU",7,2011,139.571938559573,2768584
"788","LU","BE",8,2011,139.571938559573,34168136
"789","BE","LU",8,2011,139.571938559573,2480174
"790","LU","BE",9,2011,139.571938559573,19617203
"791","BE","LU",9,2011,139.571938559573,6836247
"792","LU","BE",10,2011,139.571938559573,5642232
"793","BE","LU",10,2011,139.571938559573,3283538
"794","LU","BE",11,2011,139.571938559573,2515717
"795","BE","LU",11,2011,139.571938559573,9455626
"796","LU","BE",12,2011,139.571938559573,2016142
"797","BE","LU",12,2011,139.571938559573,556240
"798","LU","BE",13,2011,139.571938559573,155106
"799","BE","LU",13,2011,139.571938559573,25117
"800","LU","BE",14,2011,139.571938559573,31549
"801","BE","LU",14,2011,139.571938559573,55192
"802","LU","BE",15,2011,139.571938559573,11679466
"803","BE","LU",15,2011,139.571938559573,739985
"804","LU","BE",16,2011,139.571938559573,43884242
"805","BE","LU",16,2011,139.571938559573,3047792
"806","LU","BE",17,2011,139.571938559573,16925928
"807","BE","LU",17,2011,139.571938559573,417123
"808","LU","BE",18,2011,139.571938559573,33597082
"809","BE","LU",18,2011,139.571938559573,1030005
"810","LU","BE",19,2011,139.571938559573,65637973
"811","BE","LU",19,2011,139.571938559573,18633476
"812","LU","BE",20,2011,139.571938559573,31492694
"813","BE","LU",20,2011,139.571938559573,3400809
"967","LU","BE",1,2012,139.571938559573,1477416
"968","BE","LU",1,2012,139.571938559573,18699732
"969","LU","BE",2,2012,139.571938559573,67899145
"970","BE","LU",2,2012,139.571938559573,3304372
"971","LU","BE",3,2012,139.571938559573,22772968
"972","BE","LU",3,2012,139.571938559573,1933742
"973","LU","BE",4,2012,139.571938559573,70274687
"974","BE","LU",4,2012,139.571938559573,9962853
"975","LU","BE",5,2012,139.571938559573,648202
"976","BE","LU",5,2012,139.571938559573,765978
"977","LU","BE",6,2012,139.571938559573,8880234
"978","BE","LU",6,2012,139.571938559573,188310
"979","LU","BE",7,2012,139.571938559573,35589689
"980","BE","LU",7,2012,139.571938559573,2608480
"981","LU","BE",8,2012,139.571938559573,36728962
"982","BE","LU",8,2012,139.571938559573,3162382
"983","LU","BE",9,2012,139.571938559573,23030194
"984","BE","LU",9,2012,139.571938559573,6049869
"985","LU","BE",10,2012,139.571938559573,12135234
"986","BE","LU",10,2012,139.571938559573,4633988
"987","LU","BE",11,2012,139.571938559573,3292136
"988","BE","LU",11,2012,139.571938559573,12514855
"989","LU","BE",12,2012,139.571938559573,2191387
"990","BE","LU",12,2012,139.571938559573,417519
"991","LU","BE",13,2012,139.571938559573,137704
"992","BE","LU",13,2012,139.571938559573,38900
"993","LU","BE",14,2012,139.571938559573,254489
"994","BE","LU",14,2012,139.571938559573,796282
"995","LU","BE",15,2012,139.571938559573,12702032
"996","BE","LU",15,2012,139.571938559573,566508
"997","LU","BE",16,2012,139.571938559573,45354777
"998","BE","LU",16,2012,139.571938559573,2309673
"999","LU","BE",17,2012,139.571938559573,17565026
"1000","BE","LU",17,2012,139.571938559573,729975
"1001","LU","BE",18,2012,139.571938559573,35867554
"1002","BE","LU",18,2012,139.571938559573,1099063
"1003","LU","BE",19,2012,139.571938559573,65203268
"1004","BE","LU",19,2012,139.571938559573,19373127
"1005","LU","BE",20,2012,139.571938559573,32549754
"1006","BE","LU",20,2012,139.571938559573,3705246
"1160","LU","BE",1,2013,139.571938559573,1784794
"1161","BE","LU",1,2013,139.571938559573,14565263
"1162","LU","BE",2,2013,139.571938559573,70566315
"1163","BE","LU",2,2013,139.571938559573,5467694
"1164","LU","BE",3,2013,139.571938559573,24053652
"1165","BE","LU",3,2013,139.571938559573,1595990
"1166","LU","BE",4,2013,139.571938559573,71339771
"1167","BE","LU",4,2013,139.571938559573,11146408
"1168","LU","BE",5,2013,139.571938559573,569909
"1169","BE","LU",5,2013,139.571938559573,520275
"1170","LU","BE",6,2013,139.571938559573,9071441
"1171","BE","LU",6,2013,139.571938559573,185230
"1172","LU","BE",7,2013,139.571938559573,38326584
"1173","BE","LU",7,2013,139.571938559573,2029270
"1174","LU","BE",8,2013,139.571938559573,41192592
"1175","BE","LU",8,2013,139.571938559573,3126616
"1176","LU","BE",9,2013,139.571938559573,24521739
"1177","BE","LU",9,2013,139.571938559573,5620221
"1178","LU","BE",10,2013,139.571938559573,8397616
"1179","BE","LU",10,2013,139.571938559573,3908680
"1180","LU","BE",11,2013,139.571938559573,2763621
"1181","BE","LU",11,2013,139.571938559573,15043302
"1182","LU","BE",12,2013,139.571938559573,1786880
"1183","BE","LU",12,2013,139.571938559573,379857
"1184","LU","BE",13,2013,139.571938559573,146365
"1185","BE","LU",13,2013,139.571938559573,19036
"1186","LU","BE",14,2013,139.571938559573,144855
"1187","BE","LU",14,2013,139.571938559573,650310
"1188","LU","BE",15,2013,139.571938559573,14274947
"1189","BE","LU",15,2013,139.571938559573,507925
"1190","LU","BE",16,2013,139.571938559573,48416054
"1191","BE","LU",16,2013,139.571938559573,3710818
"1192","LU","BE",17,2013,139.571938559573,17319926
"1193","BE","LU",17,2013,139.571938559573,931498
"1194","LU","BE",18,2013,139.571938559573,36549441
"1195","BE","LU",18,2013,139.571938559573,4576695
"1196","LU","BE",19,2013,139.571938559573,69931239
"1197","BE","LU",19,2013,139.571938559573,18358477
"1198","LU","BE",20,2013,139.571938559573,35318267
"1199","BE","LU",20,2013,139.571938559573,1743882
"1354","LU","BE",1,2014,139.571938559573,4204273
"1355","BE","LU",1,2014,139.571938559573,15839770
"1356","LU","BE",2,2014,139.571938559573,72972761
"1357","BE","LU",2,2014,139.571938559573,5210606
"1358","LU","BE",3,2014,139.571938559573,26585613
"1359","BE","LU",3,2014,139.571938559573,873814
"1360","LU","BE",4,2014,139.571938559573,76658340
"1361","BE","LU",4,2014,139.571938559573,13749964
"1362","LU","BE",5,2014,139.571938559573,510718
"1363","BE","LU",5,2014,139.571938559573,445435
"1364","LU","BE",6,2014,139.571938559573,9227811
"1365","BE","LU",6,2014,139.571938559573,63424
"1366","LU","BE",7,2014,139.571938559573,36384157
"1367","BE","LU",7,2014,139.571938559573,2083308
"1368","LU","BE",8,2014,139.571938559573,39350722
"1369","BE","LU",8,2014,139.571938559573,3908178
"1370","LU","BE",9,2014,139.571938559573,22621695
"1371","BE","LU",9,2014,139.571938559573,5625438
"1372","LU","BE",10,2014,139.571938559573,11161199
"1373","BE","LU",10,2014,139.571938559573,2733963
"1374","LU","BE",11,2014,139.571938559573,2347875
"1375","BE","LU",11,2014,139.571938559573,12095861
"1376","LU","BE",12,2014,139.571938559573,1931356
"1377","BE","LU",12,2014,139.571938559573,2563908
"1378","LU","BE",13,2014,139.571938559573,106422
"1379","BE","LU",13,2014,139.571938559573,6671
"1380","LU","BE",14,2014,139.571938559573,140930
"1381","BE","LU",14,2014,139.571938559573,723996
"1382","LU","BE",15,2014,139.571938559573,12972514
"1383","BE","LU",15,2014,139.571938559573,765051
"1384","LU","BE",16,2014,139.571938559573,49894733
"1385","BE","LU",16,2014,139.571938559573,4648779
"1386","LU","BE",17,2014,139.571938559573,16259957
"1387","BE","LU",17,2014,139.571938559573,256964
"1388","LU","BE",18,2014,139.571938559573,36979695
"1389","BE","LU",18,2014,139.571938559573,2970224
"1390","LU","BE",19,2014,139.571938559573,74667647
"1391","BE","LU",19,2014,139.571938559573,14918290
"1392","LU","BE",20,2014,139.571938559573,38035725
"1393","BE","LU",20,2014,139.571938559573,1346247
"1547","LU","BE",1,2015,139.571938559573,3913670
"1548","BE","LU",1,2015,139.571938559573,15459804
"1549","LU","BE",2,2015,139.571938559573,75817946
"1550","BE","LU",2,2015,139.571938559573,4803508
"1551","LU","BE",3,2015,139.571938559573,27693128
"1552","BE","LU",3,2015,139.571938559573,833786
"1553","LU","BE",4,2015,139.571938559573,78825028
"1554","BE","LU",4,2015,139.571938559573,28507770
"1555","LU","BE",5,2015,139.571938559573,492751
"1556","BE","LU",5,2015,139.571938559573,115883
"1557","LU","BE",6,2015,139.571938559573,9463008
"1558","BE","LU",6,2015,139.571938559573,67074
"1559","LU","BE",7,2015,139.571938559573,40736903
"1560","BE","LU",7,2015,139.571938559573,944690
"1561","LU","BE",8,2015,139.571938559573,43219395
"1562","BE","LU",8,2015,139.571938559573,4744453
"1563","LU","BE",9,2015,139.571938559573,32841587
"1564","BE","LU",9,2015,139.571938559573,4949088
"1565","LU","BE",10,2015,139.571938559573,10830339
"1566","BE","LU",10,2015,139.571938559573,3379282
"1567","LU","BE",11,2015,139.571938559573,2361855
"1568","BE","LU",11,2015,139.571938559573,14256681
"1569","LU","BE",12,2015,139.571938559573,2856251
"1570","BE","LU",12,2015,139.571938559573,2224115
"1571","LU","BE",13,2015,139.571938559573,101704
"1572","BE","LU",13,2015,139.571938559573,5246
"1573","LU","BE",14,2015,139.571938559573,303753
"1574","BE","LU",14,2015,139.571938559573,490970
"1575","LU","BE",15,2015,139.571938559573,12316669
"1576","BE","LU",15,2015,139.571938559573,545286
"1577","LU","BE",16,2015,139.571938559573,48844637
"1578","BE","LU",16,2015,139.571938559573,5114067
"1579","LU","BE",17,2015,139.571938559573,14256221
"1580","BE","LU",17,2015,139.571938559573,2744018
"1581","LU","BE",18,2015,139.571938559573,36240085
"1582","BE","LU",18,2015,139.571938559573,3285541
"1583","LU","BE",19,2015,139.571938559573,75929466
"1584","BE","LU",19,2015,139.571938559573,16334953
"1585","LU","BE",20,2015,139.571938559573,36120425
"1586","BE","LU",20,2015,139.571938559573,4623011
"1740","LU","BE",1,2016,139.571938559573,3312437
"1741","BE","LU",1,2016,139.571938559573,13369210
"1742","LU","BE",2,2016,139.571938559573,78444610
"1743","BE","LU",2,2016,139.571938559573,6333364
"1744","LU","BE",3,2016,139.571938559573,30750246
"1745","BE","LU",3,2016,139.571938559573,934880
"1746","LU","BE",4,2016,139.571938559573,76718220
"1747","BE","LU",4,2016,139.571938559573,34376924
"1748","LU","BE",5,2016,139.571938559573,495079
"1749","BE","LU",5,2016,139.571938559573,84629
"1750","LU","BE",6,2016,139.571938559573,11696213
"1751","BE","LU",6,2016,139.571938559573,88877
"1752","LU","BE",7,2016,139.571938559573,43521416
"1753","BE","LU",7,2016,139.571938559573,2572304
"1754","LU","BE",8,2016,139.571938559573,46964702
"1755","BE","LU",8,2016,139.571938559573,4218337
"1756","LU","BE",9,2016,139.571938559573,29212871
"1757","BE","LU",9,2016,139.571938559573,5414984
"1758","LU","BE",10,2016,139.571938559573,9065150
"1759","BE","LU",10,2016,139.571938559573,2647782
"1760","LU","BE",11,2016,139.571938559573,1886825
"1761","BE","LU",11,2016,139.571938559573,13603625
"1762","LU","BE",12,2016,139.571938559573,2709623
"1763","BE","LU",12,2016,139.571938559573,483600
"1764","LU","BE",13,2016,139.571938559573,107475
"1765","BE","LU",13,2016,139.571938559573,11986
"1766","LU","BE",14,2016,139.571938559573,266712
"1767","BE","LU",14,2016,139.571938559573,358440
"1768","LU","BE",15,2016,139.571938559573,11452110
"1769","BE","LU",15,2016,139.571938559573,537075
"1770","LU","BE",16,2016,139.571938559573,47038018
"1771","BE","LU",16,2016,139.571938559573,5359662
"1772","LU","BE",17,2016,139.571938559573,13609789
"1773","BE","LU",17,2016,139.571938559573,4083589
"1774","LU","BE",18,2016,139.571938559573,34547691
"1775","BE","LU",18,2016,139.571938559573,1640251
"1776","LU","BE",19,2016,139.571938559573,73427054
"1777","BE","LU",19,2016,139.571938559573,17791281
"1778","LU","BE",20,2016,139.571938559573,33912318
"1779","BE","LU",20,2016,139.571938559573,4786649
"1932","NL","BE",1,2007,194.138018373598,132223381
"1933","BE","NL",1,2007,194.138018373598,257527175
"1934","NL","BE",2,2007,194.138018373598,443540369
"1935","BE","NL",2,2007,194.138018373598,219281798
"1936","NL","BE",3,2007,194.138018373598,144440271
"1937","BE","NL",3,2007,194.138018373598,268049602
"1938","NL","BE",4,2007,194.138018373598,415385948
"1939","BE","NL",4,2007,194.138018373598,739078166
"1940","NL","BE",5,2007,194.138018373598,8029158
"1941","BE","NL",5,2007,194.138018373598,12687421
"1942","NL","BE",6,2007,194.138018373598,117304135
"1943","BE","NL",6,2007,194.138018373598,255847575
"1944","NL","BE",7,2007,194.138018373598,286030286
"1945","BE","NL",7,2007,194.138018373598,413720984
"1946","NL","BE",8,2007,194.138018373598,300298361
"1947","BE","NL",8,2007,194.138018373598,251340196
"1948","NL","BE",9,2007,194.138018373598,74412495
"1949","BE","NL",9,2007,194.138018373598,56897913
"1950","NL","BE",10,2007,194.138018373598,185431464
"1951","BE","NL",10,2007,194.138018373598,70247141
"1952","NL","BE",11,2007,194.138018373598,111240516
"1953","BE","NL",11,2007,194.138018373598,116671069
"1954","NL","BE",12,2007,194.138018373598,98350214
"1955","BE","NL",12,2007,194.138018373598,116269582
"1956","NL","BE",13,2007,194.138018373598,6743982
"1957","BE","NL",13,2007,194.138018373598,5153361
"1958","NL","BE",14,2007,194.138018373598,1920137
"1959","BE","NL",14,2007,194.138018373598,1512543
"1960","NL","BE",15,2007,194.138018373598,262249932
"1961","BE","NL",15,2007,194.138018373598,592850782
"1962","NL","BE",16,2007,194.138018373598,207296798
"1963","BE","NL",16,2007,194.138018373598,188973706
"1964","NL","BE",17,2007,194.138018373598,193988218
"1965","BE","NL",17,2007,194.138018373598,148386339
"1966","NL","BE",18,2007,194.138018373598,208774007
"1967","BE","NL",18,2007,194.138018373598,322171527
"1968","NL","BE",19,2007,194.138018373598,306840066
"1969","BE","NL",19,2007,194.138018373598,226763513
"1970","NL","BE",20,2007,194.138018373598,191686643
"1971","BE","NL",20,2007,194.138018373598,178013760
"2126","NL","BE",1,2008,194.138018373598,163156798
"2127","BE","NL",1,2008,194.138018373598,269521412
"2128","NL","BE",2,2008,194.138018373598,493102759
"2129","BE","NL",2,2008,194.138018373598,244533631
"2130","NL","BE",3,2008,194.138018373598,134173979
"2131","BE","NL",3,2008,194.138018373598,274155798
"2132","NL","BE",4,2008,194.138018373598,414434285
"2133","BE","NL",4,2008,194.138018373598,792462304
"2134","NL","BE",5,2008,194.138018373598,8919364
"2135","BE","NL",5,2008,194.138018373598,19536804
"2136","NL","BE",6,2008,194.138018373598,124745825
"2137","BE","NL",6,2008,194.138018373598,261136196
"2138","NL","BE",7,2008,194.138018373598,269638891
"2139","BE","NL",7,2008,194.138018373598,420882533
"2140","NL","BE",8,2008,194.138018373598,339646824
"2141","BE","NL",8,2008,194.138018373598,229732927
"2142","NL","BE",9,2008,194.138018373598,105948835
"2143","BE","NL",9,2008,194.138018373598,50713299
"2144","NL","BE",10,2008,194.138018373598,249657397
"2145","BE","NL",10,2008,194.138018373598,117520137
"2146","NL","BE",11,2008,194.138018373598,148831222
"2147","BE","NL",11,2008,194.138018373598,133403942
"2148","NL","BE",12,2008,194.138018373598,94407641
"2149","BE","NL",12,2008,194.138018373598,135359160
"2150","NL","BE",13,2008,194.138018373598,6060467
"2151","BE","NL",13,2008,194.138018373598,6778090
"2152","NL","BE",14,2008,194.138018373598,1013924
"2153","BE","NL",14,2008,194.138018373598,2277319
"2154","NL","BE",15,2008,194.138018373598,323475628
"2155","BE","NL",15,2008,194.138018373598,984785769
"2156","NL","BE",16,2008,194.138018373598,201295971
"2157","BE","NL",16,2008,194.138018373598,199359512
"2158","NL","BE",17,2008,194.138018373598,188584812
"2159","BE","NL",17,2008,194.138018373598,156129788
"2160","NL","BE",18,2008,194.138018373598,226627982
"2161","BE","NL",18,2008,194.138018373598,333758426
"2162","NL","BE",19,2008,194.138018373598,381377229
"2163","BE","NL",19,2008,194.138018373598,258199725
"2164","NL","BE",20,2008,194.138018373598,233298421
"2165","BE","NL",20,2008,194.138018373598,196917723
"2320","NL","BE",1,2009,194.138018373598,177409220
"2321","BE","NL",1,2009,194.138018373598,301332753
"2322","NL","BE",2,2009,194.138018373598,460136454
"2323","BE","NL",2,2009,194.138018373598,249849470
"2324","NL","BE",3,2009,194.138018373598,161399503
"2325","BE","NL",3,2009,194.138018373598,261097311
"2326","NL","BE",4,2009,194.138018373598,393802493
"2327","BE","NL",4,2009,194.138018373598,704246869
"2328","NL","BE",5,2009,194.138018373598,14088545
"2329","BE","NL",5,2009,194.138018373598,19808707
"2330","NL","BE",6,2009,194.138018373598,145221421
"2331","BE","NL",6,2009,194.138018373598,265049885
"2332","NL","BE",7,2009,194.138018373598,247743885
"2333","BE","NL",7,2009,194.138018373598,387364215
"2334","NL","BE",8,2009,194.138018373598,293190015
"2335","BE","NL",8,2009,194.138018373598,217996776
"2336","NL","BE",9,2009,194.138018373598,131890702
"2337","BE","NL",9,2009,194.138018373598,51221117
"2338","NL","BE",10,2009,194.138018373598,124811525
"2339","BE","NL",10,2009,194.138018373598,124937474
"2340","NL","BE",11,2009,194.138018373598,156035311
"2341","BE","NL",11,2009,194.138018373598,103920398
"2342","NL","BE",12,2009,194.138018373598,63866383
"2343","BE","NL",12,2009,194.138018373598,147648048
"2344","NL","BE",13,2009,194.138018373598,11370557
"2345","BE","NL",13,2009,194.138018373598,4931536
"2346","NL","BE",14,2009,194.138018373598,590366
"2347","BE","NL",14,2009,194.138018373598,2472887
"2348","NL","BE",15,2009,194.138018373598,277488789
"2349","BE","NL",15,2009,194.138018373598,712265406
"2350","NL","BE",16,2009,194.138018373598,216372126
"2351","BE","NL",16,2009,194.138018373598,201414852
"2352","NL","BE",17,2009,194.138018373598,181922024
"2353","BE","NL",17,2009,194.138018373598,153305491
"2354","NL","BE",18,2009,194.138018373598,215119279
"2355","BE","NL",18,2009,194.138018373598,292048318
"2356","NL","BE",19,2009,194.138018373598,414860136
"2357","BE","NL",19,2009,194.138018373598,263788503
"2358","NL","BE",20,2009,194.138018373598,324956201
"2359","BE","NL",20,2009,194.138018373598,202352190
"2514","NL","BE",1,2010,194.138018373598,165143639
"2515","BE","NL",1,2010,194.138018373598,335730682
"2516","NL","BE",2,2010,194.138018373598,529160794
"2517","BE","NL",2,2010,194.138018373598,265970036
"2518","NL","BE",3,2010,194.138018373598,139976658
"2519","BE","NL",3,2010,194.138018373598,252185713
"2520","NL","BE",4,2010,194.138018373598,452771428
"2521","BE","NL",4,2010,194.138018373598,813456317
"2522","NL","BE",5,2010,194.138018373598,40035021
"2523","BE","NL",5,2010,194.138018373598,18219977
"2524","NL","BE",6,2010,194.138018373598,152094223
"2525","BE","NL",6,2010,194.138018373598,250642696
"2526","NL","BE",7,2010,194.138018373598,297467405
"2527","BE","NL",7,2010,194.138018373598,436414531
"2528","NL","BE",8,2010,194.138018373598,313545820
"2529","BE","NL",8,2010,194.138018373598,241416593
"2530","NL","BE",9,2010,194.138018373598,157259369
"2531","BE","NL",9,2010,194.138018373598,58937214
"2532","NL","BE",10,2010,194.138018373598,139958302
"2533","BE","NL",10,2010,194.138018373598,119672621
"2534","NL","BE",11,2010,194.138018373598,171081926
"2535","BE","NL",11,2010,194.138018373598,81329023
"2536","NL","BE",12,2010,194.138018373598,74827170
"2537","BE","NL",12,2010,194.138018373598,185395566
"2538","NL","BE",13,2010,194.138018373598,10199880
"2539","BE","NL",13,2010,194.138018373598,5860355
"2540","NL","BE",14,2010,194.138018373598,1004448
"2541","BE","NL",14,2010,194.138018373598,1409641
"2542","NL","BE",15,2010,194.138018373598,252493240
